"Reference","Citation","Species","Common name","Stimulus","Modality","Choice","Task","Weber's law","k","Lower bound","Upper bound","Model fitted","Model test statistic","Model p value","Included","Exclusion reason","Source","Data","Search date","file prefix"
"Frech et al. 2012 ","Frech, B., Vogtsberger, M., Neumeyer, C., 2012. Visual discrimination of objects differing in spatial depth by goldfish. J Comp Physiol A 198, 53–60. https://doi.org/10.1007/s00359-011-0685-y","Carassius auratus","Goldfish","Distance","vision","conditioned","difference","reported"," 1.20","  1.04"," 1.35","binomial",10.24,"<.001***","Y",,"Database","Fig 3",2022,"frech2012"
"Gazes et al. 2017 (i)","Gazes, R.P., Billas, A.R., Schmitt, V., 2018. Impact of stimulus format and reward value on quantity discrimination in capuchin and squirrel monkeys. Learn Behav 46, 89–100. https://doi.org/10.3758/s13420-017-0295-9","Saimiri sciureus","Squirrel monkey","Quantity","vision","conditioned","rank","reported","-0.02"," -1.85"," 1.04","binomial",2.49,"0.0127*","Y",,"Database","Email",2024,"gazes2017_pebbles_SM"
"Gazes et al. 2017 (ii)","Gazes, R.P., Billas, A.R., Schmitt, V., 2018. Impact of stimulus format and reward value on quantity discrimination in capuchin and squirrel monkeys. Learn Behav 46, 89–100. https://doi.org/10.3758/s13420-017-0295-9","Sapajus apella","Capuchin","Quantity","vision","conditioned","rank","reported"," 0.47"," -0.76"," 1.29","binomial",2.42,"0.0155*","Y",,"Database","Email",2024,"gazes2017_pebbles_capuchin"
"Gazes et al. 2017 (iii)","Gazes, R.P., Billas, A.R., Schmitt, V., 2018. Impact of stimulus format and reward value on quantity discrimination in capuchin and squirrel monkeys. Learn Behav 46, 89–100. https://doi.org/10.3758/s13420-017-0295-9","Sapajus apella","Capuchin","Quantity","vision","innate","rank","reported"," 0.64","  0.34"," 0.92","binomial",9.72,"<.001***","Y",,"Database","Email",2024,"gazes2017_food_capuchin"
"Gazes et al. 2017 (iv)","Gazes, R.P., Billas, A.R., Schmitt, V., 2018. Impact of stimulus format and reward value on quantity discrimination in capuchin and squirrel monkeys. Learn Behav 46, 89–100. https://doi.org/10.3758/s13420-017-0295-9","Saimiri sciureus","Squirrel monkey","Quantity","vision","innate","rank","reported"," 0.82","  0.49"," 1.13","binomial",7.64,"<.001***","Y",,"Database","Email",2024,"gazes2017_food_SM"
"Hainsworth and Wolf 1976 ","Hainsworth, F.R., Wolf, L.L., 1976. Nectar Characteristics and food selection by hummingbirds. Oecologia 25, 101–113. https://doi.org/10.1007/BF00368847","Trochilidae spp.","Hummingbird spp.","Sugar concentration","taste","innate","rank","not reported"," 1.73","  1.57"," 1.91","binomial",11.38,"<.001***","Y",,"Review","Email",2022,"nachev2013_hummingbirds"
"Hampson et al. 2010 (i)","Hampson, C.L., Body, S., den Boon, F.S., Cheung, T.H.C., Bezzina, G., Langley, R.W., Fone, K.C.F., Bradshaw, C.M., Szabadi, E., 2010. Comparison of the effects of 2,5-dimethoxy-4-iodoamphetamine and D-amphetamine on the ability of rats to discriminate the durations and intensities of light stimuli. Behav Pharmacol 21, 11. https://doi.org/10.1097/FBP.0b013e328334707a","Rattus norvegicus","Brown rat","Duration","vision","conditioned","rank","not reported"," 0.65","  0.24"," 1.13","binomial",5.26,"<.001***","Y",,"Database","Fig 2a",2022,"hampson2010_duration"
"Hampson et al. 2010 (ii)","Hampson, C.L., Body, S., den Boon, F.S., Cheung, T.H.C., Bezzina, G., Langley, R.W., Fone, K.C.F., Bradshaw, C.M., Szabadi, E., 2010. Comparison of the effects of 2,5-dimethoxy-4-iodoamphetamine and D-amphetamine on the ability of rats to discriminate the durations and intensities of light stimuli. Behav Pharmacol 21, 11. https://doi.org/10.1097/FBP.0b013e328334707a","Rattus norvegicus","Brown rat","Light intensity","vision","conditioned","rank","not reported"," 1.14","  0.92"," 1.36","binomial",5.26,"<.001***","Y",,"Database","Fig 2b",2022,"hampson2010_intensity"
"Hemingway et al. 2018 ","Hemingway, C.T., Ryan, M.J., Page, R.A., 2018. Cognitive constraints on optimal foraging in frog-eating bats. Anim Behav 143, 43–50. https://doi.org/10.1016/j.anbehav.2018.07.007","Trachops cirrhosus","Fringe-lipped bat","Number of frogs","hearing","innate","rank","reported"," 2.69","  1.99"," 3.59","binomial",4.69,"<.001***","Y",,"Database","Hemingway et al._2018_data.csv [WWW Document], n.d. URL https://figshare.com/articles/dataset/Hemingway_et_al_2018_data_csv/6794081?file=12357545 (accessed 2.10.25).",2022,"hemingway2018"
"Iwanir et al. 2019 (i)","Iwanir, S., Ruach, R., Itskovits, E., Pritz, C.O., Bokman, E., Zaslaver, A., 2019. Irrational behavior in C. elegans arises from asymmetric modulatory effects within single sensory neurons. Nat Commun 10, 3202. https://doi.org/10.1038/s41467-019-11163-3","Caenorhabditis elegans","Roundworm","Concentration","smell","innate","rank","not reported"," 1.00","  0.98"," 1.01","gaussian",28.09,"<.001***","Y",,"Database","Supplementary data 1",2022,"iwanir2019_volatiles"
"Klink and Klump 2004 ","Klink, K.B., Klump, G.M., 2004. Duration discrimination in the mouse (Mus musculus). J Comp Physiol A 190, 1039–1046. https://doi.org/10.1007/s00359-004-0561-0","Mus musculus","House mouse","Duration","hearing","conditioned","difference","reported"," 0.89","  0.87"," 0.92","binomial",40.81,"<.001***","Y",,"Database and review","Fig 1",2022,"klink2004"
"LaBarbera et al. 2020 ","LaBarbera, K., Nelson, P., Bee, M., 2020. Mate choice and the ‘opposite miss’ to Weber’s law: proportional processing governs signal preferences in a treefrog. Anim Behav 168, 199–209. https://doi.org/10.1016/j.anbehav.2020.08.014","Hyla chrysoscelis","Cope's gray treefrog","Call pulse no.","hearing","innate","rank","reported"," 1.58","  1.38"," 1.82","binomial",6.32,"<.001***","Y",,"Database","LaBarbera, K., Nelson, P.B., Bee, M.A., 2020. Advertisement call length preferences of female Cope’s gray treefrogs (Hyla chrysoscelis) in two-alternative choice tests.",2022,"labarbera2020"
"Luna et al. 2005 ","Luna, R., Hernández, A., Brody, C.D., Romo, R., 2005. Neural codes for perceptual discrimination in primary somatosensory cortex. Nat Neurosci 8, 1210–1219. https://doi.org/10.1038/nn1513","Macaca mulatta","Rhesus macaque","Vibrotactile frequency","touch","conditioned","rank","not reported","-0.13"," -0.48"," 0.21","binomial",1.94,"0.0526.","Y",,"Database","Fig 2a-d",2024,"luna2005"
"Mayrhofer et al. 2013 ","Mayrhofer, J.M., Skreb, V., von der Behrens, W., Musall, S., Weber, B., Haiss, F., 2013. Novel two-alternative forced choice paradigm for bilateral vibrotactile whisker frequency discrimination in head-fixed mice and rats. J Neurophysiol 109, 273–284. https://doi.org/10.1152/jn.00488.2012","Rattus norvegicus","Brown rat","Vibrotactile freq.","touch","conditioned","difference","not reported"," 1.57","  1.12"," 2.06","binomial",24.16,"<.001***","Y",,"Database","Fig 3",2022,"mayrhofer2013"
"Musall et al. 2014 ","Musall, S., von der Behrens, W., Mayrhofer, J.M., Weber, B., Helmchen, F., Haiss, F., 2014. Tactile frequency discrimination is enhanced by circumventing neocortical adaptation. Nat Neurosci 17, 1567–1573. https://doi.org/10.1038/nn.3821","Rattus norvegicus","Brown rat","Vibrotactile freq","touch","conditioned","difference","not reported"," 0.65","  0.46"," 0.84","binomial",10.95,"<.001***","Y",,"Database","Figure 1f",2022,"musall2014"
"Nachev et al. 2012 ","Nachev, V., Winter, Y., 2012. The psychophysics of uneconomical choice: non-linear reward evaluation by a nectar feeder. Anim Cogn 15, 393–400. https://doi.org/10.1007/s10071-011-0465-7","Glossophaga commissarisi","Commissaris's long-tongued bat","Sugar concentration","taste","innate","rank","reported"," 1.39","  1.36"," 1.42","binomial",65.15,"<.001***","Y",,"Review","Email",2022,"nachev2013_batscr"
"Nachev et al. 2013 (i)","Nachev, V., Thomson, J.D., Winter, Y., 2013. The psychophysics of sugar concentration discrimination and contrast evaluation in bumblebees. Anim Cogn 16, 417–427. https://doi.org/10.1007/s10071-012-0582-y","Bombus impatiens","Common eastern bumble bee","Sugar concentration","taste","innate","rank","reported","-0.16"," -0.19","-0.12","binomial",73.44,"<.001***","Y",,"Database and review","Email",2022,"nachev2013_bumblebees"
"Nachev et al. 2013 (ii)","Nachev, V., Stich, K.P., Winter, Y., 2013. Weber’s Law, the magnitude effect and discrimination of sugar concentrations in nectar-feeding animals. PLOS ONE 8, e74144. https://doi.org/10.1371/journal.pone.0074144","Glossophaga soricina","Pallas's long-tongued bat","Sugar concentration","taste","innate","rank","reported"," 1.91","  1.83"," 2.00","binomial",33.65,"<.001***","Y",,"Review","Email",2022,"nachev2013_bats"
"Nieder and Miller 2003 ","Nieder, A., Miller, E.K., 2003. Coding of cognitive magnitude: compressed scaling of numerical information in the primate prefrontal cortex. Neuron 37, 149–157. https://doi.org/10.1016/S0896-6273(02)01144-3","Macaca mulatta","Rhesus macaque","Quantity","vision","conditioned","difference","reported"," 0.76","  0.67"," 0.85","binomial",-15.2,"<.001***","Y",,"Review","Figure 3",2022,"nieder2003"
"Pacheco and Bertram 2014 (i)","Pacheco, K., Bertram, S.M., 2014. How male sound pressure level influences phonotaxis in virgin female Jamaican field crickets (Gryllus assimilis). PeerJ 2, e437. https://doi.org/10.7717/peerj.437","Gryllus assimilis","Jamaican field cricket","Call amplitude","hearing","innate","rank","not reported"," 0.35"," -0.71"," 1.82","gaussian",-3.36,"0.001**","Y",,"Database","Supplemental",2022,"pacheco2014_arena"
"Perna et al. 2012 ","Perna, A., Granovskiy, B., Garnier, S., Nicolis, S.C., Labédan, M., Theraulaz, G., Fourcassié, V., Sumpter, D.J.T., 2012. Individual rules for trail pattern formation in Argentine ants (Linepithema humile). PLoS Comput Biol 8, e1002592. https://doi.org/10.1371/journal.pcbi.1002592","Linepithema humile","Argentine ant","Pheromone concentration","smell","innate","rank","reported"," 0.86","  0.85"," 0.87","binomial",-97.45,"<.001***","Y",,"Review","Email",2022,"perna2012"
"Salinas et al. 2000 ","Salinas, E., Hernández, A., Zainos, A., Romo, R., 2000. Periodicity and firing rate as candidate neural codes for the frequency of vibrotactile stimuli. J Neurosci 20, 5503–5515. https://doi.org/10.1523/JNEUROSCI.20-14-05503.2000","Macaca mulatta","Rhesus macaque","Sound freq.","hearing","conditioned","difference","not reported","-0.17"," -0.25","-0.09","binomial",11.13,"<.001***","Y",,"Database","Fig. 1 b and c",2022,"salinas2000"
"Sanderson 2006 ","Sanderson, C., 2006. A test of models predicting perceived versus actual rewards using the honeybee as a model system. University of Tulsa.","Apis mellifera","Western honey bee","Sugar concentration","taste","innate","rank","not reported"," 0.39","  0.28"," 0.50","binomial",17.48,"<.001***","Y",,"Review","Email",2022,"nachev2013_honeybees"
"Schwartz et al. 2001 (i)","Schwartz, J.J., Buchanan, B.W., Gerhardt, H.C., 2001. Female mate choice in the gray treefrog (Hyla versicolor) in three experimental environments. Behav Ecol Sociobiol 49, 443–455. https://doi.org/10.1007/s002650100317","Hyla versicolor","Eastern gray treefrog","Pulses per call","hearing","innate","rank","not reported"," 0.58"," -0.30"," 1.42","binomial",6.25,"<.001***","Y",,"Database","Email",2022,"schwartz2001_percall"
"Schwartz et al. 2001 (ii)","Schwartz, J.J., Buchanan, B.W., Gerhardt, H.C., 2001. Female mate choice in the gray treefrog (Hyla versicolor) in three experimental environments. Behav Ecol Sociobiol 49, 443–455. https://doi.org/10.1007/s002650100317","Hyla versicolor","Eastern gray treefrog","Call pulse no.","hearing","innate","rank","not reported"," 1.01","  0.70"," 1.35","binomial",4.67,"<.001***","Y",,"Database","Email",2022,"schwartz2001_total"
"Schwarz and von der Emde 2001 ","Schwarz, S., von der Emde, G., 2001. Distance discrimination during active electrolocation in the weakly electric fish Gnathonemus petersii. J Comp Physiol A 186, 1185–1197. https://doi.org/10.1007/s003590000170","Gnathonemus petersii","Peters's elephantnose fish","Distance","electroreception","conditioned","rank","not reported"," 1.28","  1.14"," 1.42","binomial",13.41,"<.001***","Y",,"Database","Fig 3A",2022,"schwarz2001"
"Stubbs et al. 1994 ","Stubbs, D.A., Dreyfus, L.R., Fetterman, J.G., Boynton, D.M., Locklin, N., Smith, L.D., 1994. Duration comparison: relative stimulus differences, stimulus age, and stimulus predictiveness. J Exp Anal Behav 62, 15–32. https://doi.org/10.1901/jeab.1994.62-15","Columba livia","Rock dove","Duration","vision","conditioned","rank","reported"," 1.24","  1.07"," 1.45","binomial",3.41,"<.001***","Y",,"Database","Fig 6B",2022,"stubbs1994"
"Wieskotten et al. 2011 ","Wieskotten, S., Mauck, B., Miersch, L., Dehnhardt, G., Hanke, W., 2011. Hydrodynamic discrimination of wakes caused by objects of different size or shape in a harbour seal (Phoca vitulina). The Journal of experimental biology 214, 1922–30. https://doi.org/10.1242/jeb.053926","Phoca vitulina","Harbour seal","Size","touch","conditioned","difference","reported"," 0.16"," -0.20"," 0.49","binomial",0.98,"0.328 ","Y",,"Database","Fig 4C (found in Hanke et al. 2012, Hydrodynamic hydrodynamic perception in pinnipeds)",2024,"hanke2012"
"van den Berg et al. 2020 ","van den Berg, C.P., Hollenkamp, M., Mitchell, L.J., Watson, E.J., Green, N.F., Marshall, N.J., Cheney, K.L., 2020. More than noise: context-dependent luminance contrast discrimination in a coral reef fish (Rhinecanthus aculeatus). J Exp Biol 223, jeb232090. https://doi.org/10.1242/jeb.232090","Rhinecanthus aculeatus","Lagoon triggerfish","Luminance","vision","conditioned","difference","not reported"," 1.79","  1.65"," 1.93","binomial",17.66,"<.001***","Y",,"Database","More than noise: Context-dependant luminance contrast discrimination in a coral reef fish (Rhinecanthus aculeatus) - UQ eSpace [WWW Document], n.d. URL https://espace.library.uq.edu.au/view/UQ:5180fb1 (accessed 2.10.25).",2022,"vandenberg2020"
"Colbert et al. 2004 ","Colbert, C.L., Garcea, M., Spector, A.C., 2004. Effects of Selective Lingual Gustatory Deafferentation on Suprathreshold Taste Intensity Discrimination of NaCl in Rats. Behavioral Neuroscience 118, 1409–1417. https://doi.org/10.1037/0735-7044.118.6.1409","Rattus norvegicus","Brown rat","Salt concentration","taste","conditioned","difference","not reported"," 1.24","  1.21"," 1.27","binomial",54.29,"<.001***","N","AIC plot","Database","Figure 1",2022,"colbert2004"
"Kwek et al. 2023 ","Kwek, B.Z.W., Zhou, W., Yu, L., Ding, G., Li, D., 2023. Female preference for males with lower pattern contrast follows Weber’s law of proportional processing in jumping spiders. Functional Ecology. https://doi.org/10.1111/1365-2435.14400","Siler semiglaucus","Jade jumping spider","Contrast","vision","innate","rank","reported"," 1.67","  1.30"," 2.98","gaussian",1.78,"0.0784.","N","AIC plot","Database","Kwek, B.Z.W., Zhou, W., Yu, L., Ding, G., Li, D., 2023. Data from: Female preference for males with lower pattern contrast follows Weber’s law of proportional processing in an ornate jumping spider. https://doi.org/10.5061/DRYAD.63XSJ3V62",2022,"kwek2023"
"Limousin and Greenfield 2009 ","Limousin, D., Greenfield, M.D., 2009. Evaluation of amplitude in male song: female waxmoths respond to fortissimo notes. Journal of Experimental Biology 212, 4091–4100. https://doi.org/10.1242/jeb.035345","Achroia grisella","Lesser wax moth","Sound amplitude","hearing","innate","rank","not reported","-8.45","-13.88"," 3.46","binomial",0.07,"0.9414 ","N","AIC plot","Database","Fig 1a",2022,"limousin2009"
"Thuenken et al. 2014 ","Thünken, T., Eigster, M., Frommen, J.G., 2014. Context-dependent group size preferences in large shoals of three-spined sticklebacks. Animal Behaviour 90, 205–210. https://doi.org/10.1016/j.anbehav.2014.01.024","Gasterosteus aculeatus","Three-spined stickleback","Number","vision","innate","rank","reported"," 0.08"," -1.95"," 5.70","gaussian",3.9,"<.001***","N","AIC plot","Database","Email",2024,"thuenken2014"
"Bartsch and Schmidt 1993 ","Bartsch, E., Schmidt, S., 1993. Psychophysical frequency modulation thresholds in a FM-bat, Tadarida brasiliensis. Hearing Research 67, 128–138. https://doi.org/10.1016/0378-5955(93)90240-2","Tadarida brasiliensis","Mexican free-tailed bat","Sound freq.","hearing","conditioned","difference","not reported"," 4.29"," -5.91","11.03","binomial",6.44,"<.001***","N","interval","Database","Fig 2",2022,"bartsch1993"
"Bee et al.  2012 ","Bee, M.A., Vélez, A., Forester, J.D., 2012. Sound level discrimination by gray treefrogs in the presence and absence of chorus-shaped noise. J Acoust Soc Am 131, 4188–4195. https://doi.org/10.1121/1.3699271","Hyla chrysoscelis","Cope's gray treefrog","Call amplitude","hearing","innate","rank","reported"," 5.29","  0.27","14.12","binomial",3.37,"<.001***","N","interval","Review","Email",2022,"bee2012"
"Kloepper et al. 2010 ","Kloepper, L.N., Nachtigall, P.E., Gisiner, R., Breese, M., 2010. Decreased echolocation performance following high-frequency hearing loss in the false killer whale (Pseudorca crassidens). Journal of Experimental Biology 213, 3717–3722. https://doi.org/10.1242/jeb.042788","Pseudorca crassidens","False killer whale","Thickness","hearing","conditioned","difference","not reported"," 0.69"," -2.14"," 3.55","binomial",6.58,"<.001***","N","interval","Database","Fig 2",2022,"kloepper2010"
"Langen 1999 ","Langen, T.A., 1999. How western scrub-jays (Aphelocoma californica) select a nut:  effects of the number of options, variation in nut size,  and social competition among foragers. Anim Cogn 2, 223–233. https://doi.org/10.1007/s100710050043","Aphelocoma californica","Western scrub-jay","Weight","touch","innate","rank","reported"," 8.29","  4.30","14.84","binomial",5.51,"<.001***","N","interval","Database","Email",2024,"langen1999"
"Liu and Newsome 2005 ","Liu, J., Newsome, W.T., 2005. Correlation between Speed Perception and Neural Activity in the Middle Temporal Visual Area. J. Neurosci. 25, 711–722. https://doi.org/10.1523/JNEUROSCI.4034-04.2005","Macaca mulatta","Rhesus macaque","Speed","vision","conditioned","rank","not reported","-0.61"," -2.58"," 1.28","binomial",3.85,"<.001***","N","interval","Database","Figure 2",2022,"liu2005"
"Pacheco and Bertram 2014 (ii)","Pacheco, K., Bertram, S.M., 2014. How male sound pressure level influences phonotaxis in virgin female Jamaican field crickets (Gryllus assimilis). PeerJ 2, e437. https://doi.org/10.7717/peerj.437","Gryllus assimilis","Jamaican field cricket","Call amplitude","hearing","innate","rank","not reported"," 5.17","  2.72","10.55","gaussian",-5.19,"<.001***","N","interval","Database","Supplemental",2022,"pacheco2014_trackball"
"von Stebut and Schmidt 2001 ","von Stebut, B., Schmidt, S., 2001. Frequency discrimination threshold at search call frequencies in the echolocating bat, Eptesicus fuscus. J Comp Physiol A 187, 287–291. https://doi.org/10.1007/s003590100200","Eptesicus fuscus","Big brown bat","Sound freq.","hearing","conditioned","rank","not reported"," 0.24"," -3.57"," 4.02","binomial",11.72,"<.001***","N","interval","Database","Fig 2",2022,"vonstebut2001"
"von der Emde and Ronacher 1994 ","von der Emde, G., Ronacher, B., 1994. Perception of electric properties of objects in electrolocating weakly electric fish: two-dimensional similarity scaling reveals a City-Block metric. J Comp Physiol A 175, 801–812. https://doi.org/10.1007/BF00191852","Gnathonemus petersii","Peters's elephantnose fish","Amplitude","electroreception","conditioned","difference","not reported"," 5.84","  0.77","10.93","binomial",-3.81,"<.001***","N","interval","Database","Fig 4a-b",2022,"vonderemde1994"
"Abolins-Abols et al. 2020 ","Abolins-Abols, M., Hauber, M.E., 2019. Proximate Predictors of Variation in Egg Rejection Behavior by Hosts of Avian Brood Parasites. https://doi.org/10.1101/788505","Turdus reticulata","American Robin","Clutch size","vision","innate","difference","reported","   NA","    NA","   NA","binomial",,"NA","N","k failed","Database","Fig 2",2022,"abolinsabols2021"
"Baker et al. 2011 ","Baker, J.M., Shivik, J., Jordan, K.E., 2011. Tracking of food quantity by coyotes (Canis latrans). Behavioural Processes 88, 72–75. https://doi.org/10.1016/j.beproc.2011.08.006","Canis latrans","Coyote","Quantity of food","vision","innate","rank","reported","   NA","    NA","   NA","binomial",,"NA","N","k failed","Review","Fig. 1",2022,"baker2012"
"Dehnhardt and Dücker 1996 ","Dehnhardt, G., Dücker, G., 1996. Tactual discrimination of size and shape by a California sea lion (Zalophus californianus). Animal Learning & Behavior 24, 366–374. https://doi.org/10.3758/BF03199008","Zalophus californianus","California sea lion","Size","touch","conditioned","rank","reported","   NA","    NA","   NA","binomial",,"NA","N","k failed","Database","Figure 3A",2022,"dehnhardt1996"
"Franks et al. 2005 (ii)","Franks, N.R., Dornhaus, A., Metherell, B.G., Nelson, T.R., Lanfear, S.A.J., Symes, W.S., 2005. Not everything that counts can be counted: ants use multiple metrics for a single nest trait. Proceedings of the Royal Society B: Biological Sciences 273, 165–169. https://doi.org/10.1098/rspb.2005.3312","Temnothorax albipennis","Rock ant","Width","touch","innate","rank","reported","   NA","    NA","   NA","binomial",,"NA","N","k failed","Database","Table 1",2024,"franks2005_width"
"Gómez-Laplaza and Gerlai 2011 ","Gómez-Laplaza, L.M., Gerlai, R., 2011. Can angelfish (Pterophyllum scalare) count? Discrimination between different shoal sizes follows Weber’s law. Anim Cogn 14, 1–9. https://doi.org/10.1007/s10071-010-0337-6","Pterophyllum scalare","Angelfish","Number of conspecifics","vision","innate","rank","reported","   NA","    NA","   NA","binomial",,"NA","N","k failed","Review","Fig 2",2022,"gomezlaplaza2011"
"Garderes et al. 2024 ","Gardères, P.-M., Le Gal, S., Rousseau, C., Mamane, A., Ganea, D.A., Haiss, F., 2024. Coexistence of state, choice, and sensory integration coding in barrel cortex LII/III. Nat Commun 15, 4782. https://doi.org/10.1038/s41467-024-49129-9","Mus musculus","House mouse","Vibrotactile frequency","touch","conditioned","rank","not reported","   NA","    NA","   NA","binomial",,"NA","N","k failed","Database","Fig 1D",2024,"garderes2024"
"Gerdjikov et al. 2018 2018 ","Gerdjikov, T.V., Bergner, C.G., Schwarz, C., 2018. Global Tactile Coding in Rat Barrel Cortex in the Absence of Local Cues. Cerebral Cortex 28, 2015–2027. https://doi.org/10.1093/cercor/bhx108","Rattus norvegicus","Brown rat","Vibrotactile frequency","touch","conditioned","difference","reported","   NA","    NA","   NA","binomial",,"NA","N","k failed","Database","Fig 1c",2022,"gerdjikov2018"
"Hauf et al. 2008 (i)","Hauf, P., Prior, H., Sarris, V., 2008. Generalization gradients and representation modes after absolute and relative discrimination learning in young chickens. Behavioural Processes 78, 93–99. https://doi.org/10.1016/j.beproc.2008.01.005","Gallus gallus domesticus","Chicken","Size","vision","conditioned","difference","reported","   NA","    NA","   NA","binomial",,"NA","N","k failed","Database","Fig 3 top right",2022,"hauf2008_abs"
"Hauf et al. 2008 (ii)","Hauf, P., Prior, H., Sarris, V., 2008. Generalization gradients and representation modes after absolute and relative discrimination learning in young chickens. Behavioural Processes 78, 93–99. https://doi.org/10.1016/j.beproc.2008.01.005","Gallus gallus domesticus","Chicken","Size","vision","conditioned","rank","reported","   NA","    NA","   NA","binomial",,"NA","N","k failed","Database","Fig 3 bottom right",2022,"hauf2008_rel"
